iter	MAE
158	0.3622493847
159	0.3621132637
160	0.3620330828
161	0.3618921831
162	0.3618039454
163	0.36171839
164	0.3615708992
165	0.3614619318
166	0.3613562093
167	0.3612773897
168	0.3612039572
169	0.3611108765
170	0.3610511629
171	0.360949164
172	0.3609442327
173	0.3608566556
174	0.3607665436
175	0.3607091445
176	0.3605705794
177	0.3605650641
178	0.3605052544
179	0.3604124558
180	0.3602966813
181	0.3601671326
182	0.3600704413
183	0.3600113339
184	0.3599037659
185	0.3598201258
186	0.3597636603
187	0.3596847991
188	0.3596007173
189	0.3595389989
190	0.3594691992
191	0.35937646
192	0.3593025426
193	0.3592207859
194	0.3591440584
195	0.359020272
196	0.3589596546
197	0.3588793786
198	0.3587955887
199	0.3586735491
200	0.3586224881
201	0.3585716145
202	0.3584810725
203	0.3584111989
204	0.3583240447
205	0.3582049865
206	0.3581289457
207	0.3580144796
208	0.3579209904
209	0.3578551918
210	0.3577825029
211	0.3577423873
212	0.3576798118
213	0.3576352316
214	0.3575869619
215	0.357525599
216	0.3574878812
217	0.3574041124
218	0.3573302503
219	0.357222929
220	0.3571029364
221	0.3570286029
222	0.3569289213
223	0.3568628832
224	0.3567538128
225	0.3567040658
226	0.3566398915
227	0.3565223352
228	0.3564314199
229	0.3563065218
230	0.3562433951
231	0.3561546782
232	0.3560706251
233	0.3560192655
234	0.3559381473
235	0.3559010936
236	0.3558497776
237	0.3557425379
238	0.3556667693
239	0.3556104991
240	0.3554886882
241	0.3554275486
242	0.3553778255
243	0.355289294
244	0.3551735593
245	0.355092758
246	0.3550191534
247	0.3549598563
248	0.3549014946
249	0.3548258784
250	0.3547486668
251	0.3547013382
252	0.3546224728
253	0.3545731772
254	0.3545117893
255	0.3544553823
256	0.3543765335
257	0.3542720141
258	0.3541911458
259	0.3541250543
260	0.3540948208
261	0.3540005168
262	0.3539347662
263	0.3538725449
264	0.3537895117
265	0.3537334647
266	0.3536503807
267	0.3535414465
268	0.3534517685
269	0.353368846
270	0.3533026439
271	0.3532162829
272	0.3531511728
273	0.3530673199
274	0.353000676
275	0.3528905991
276	0.3528191493
277	0.3527441758
278	0.3526868165
279	0.3526279735
280	0.3525704479
281	0.3524866231
282	0.3524138152
283	0.352340291
284	0.3522677516
285	0.3521905745
286	0.3520675948
287	0.3519840955
288	0.3519147931
289	0.3518638371
290	0.3518096885
291	0.3517304319
292	0.3516778607
293	0.3515973541
294	0.3515353132
295	0.3514896408
296	0.351439164
297	0.3513725074
298	0.3513187973
299	0.3512687051
300	0.3511992933
301	0.351133612
302	0.3510661144
303	0.3509646779
304	0.3509007735
305	0.3508484115
306	0.3507854991
307	0.3507508503
308	0.350679616
309	0.3506348138
310	0.3505674672
311	0.3505150981
312	0.3504488305
313	0.3503977894
314	0.3503008949
315	0.3502533088
316	0.3501979152
317	0.3501270974
318	0.3500736128
319	0.3499813933
320	0.3498951105
321	0.3498303092
322	0.3497298668
323	0.3496259071
324	0.3495436403
325	0.3494573027
326	0.3493901529
327	0.3493169542
328	0.3492375285
329	0.3491583134
330	0.3490822143
331	0.3490182791
332	0.3489357408
333	0.3488601587
334	0.3487767257
335	0.3486731034
336	0.3486169056
337	0.348541964
338	0.3484741436
339	0.3484157678
340	0.3483474003
341	0.3482872013
342	0.3482521057
343	0.3481820071
344	0.3480884599
345	0.3480579118
346	0.3479641433
347	0.3479087934
348	0.3478239752
349	0.3477599804
350	0.3477165941
351	0.3475840211
352	0.3474722164
353	0.3473936466
354	0.3473306211
355	0.3472813069
356	0.347145714
357	0.347079692
358	0.3469882507
359	0.3468763527
360	0.3468267589
361	0.3466946393
362	0.346622835
